,text,translated
0,冷却进水,охлаждающая冷水进水
1,蝶阀,дисковый阀
2,"回
热","обратный
тепловой"
3,沉淀池,отстойник
4,1M*1M*0.24M,1M*1M*0.24M
5,φ273镀锌管,φ273镀锌管
6,1#井,1#井
7,泄压,разгрузка
8,φ273镀锌管,φ273镀锌管
9,"此处低于井口平面400
mm",здесь на 400mm低于井口平面
10,"预埋件300
mm
*
300
mm
*
16
mm",预埋件 300 мм
11,此区域低于炉眼1.1米,"Эта зона ниже горловины на 1,1 м"
12,584双室过滤箱,584 двухкамерный фильтр
13,陶瓷流槽280*280,Керамический лоток 280*280
14,35吨平炉(砖混结构）,35-тонная плоская печь (кирпично-бетонное строение)
15,35吨平炉(砖混结构）,35-тонная плоская печь (кирпично-бетонное строение)
16,燃烧系统,Система сгорания
17,燃烧系统,Система сгорания
18,铝灰处理车间,Цех обработки алюминиевых отходов
19,水泵,Насос
20,φ273镀锌管,φ273 оцинкованная трубы
21,φ273镀锌管,φ273 оцинкованная труба
22,底部过水孔1米*1米,нижний водопропускной отверстие 1 м * 1 м
23,冷却水池10米*20米，深5米,"холодильный бассейн 10 м * 20 м, глубина 5 м"
24,400立方冷却塔一个,400 куб.м холодильная башня одна
25,"水泵75KW,流量550方，扬程20米","насос 75 КВт, расход 550 куб./час, напор 20 м"
26,4台炒灰机，2个冷灰桶,"4 установки для обжарки пепла, 2 холодильных бака для пепла"
27,除尘放置区,область размещения пылеуловителей
28,上料区,зона подачи сырья
29,锯棒区,область обработки стружки
30,"注明：以车间正负零为准,低炉基础下挖1.2米混凝土浇筑60公分厚，浇筑完后，比车间正负零低60公分。
高炉基础，也是以车间正负零为准，下挖40公分，混凝土浇筑60公分厚，浇筑完后比车间正负零高出20公分。","по цеху нулевому уровню, нижний фундамент котельной выкопан на 1,2 м бетон уложен толщиной 60 см, после укладки ниже по цеху нулевого уровня на 60 см.
по цеху нулевому уровню, нижний фундамент коксовой печи также выкопан на 40 см, бетон уложен толщиной 60 см, после укладки выше по цеху нулевого уровня на 20 см."
31,"起吊高度13米,车间总高度17米,车间顶部留排气天窗，10吨天车1台,5吨天车1台","подъемная высота 13 м, общая высота цеха 17 м, в верхней части цеха оставлены вытяжные окна для отработанного воздуха, кран грузоподъемностью 10 т 1 шт., кран грузоподъемностью 5 т 1 шт."
32,模具放置区,зона размещения форм
33,此处低于放水口1.1米,"здесь ниже сливного отверстия на 1,1 м"
34,516.29,"516.29
@@"
35,517.13,517.13
36,516.98,516.98
37,517.94,517.94
38,515.30,515.30
39,516.27,516.27
40,516.71,"516,71"
41,514.34,"514,34"
42,514.13,"514,13"
43,520.17,"520,17"
44,512.97,"512,97"
45,513.15,"513,15"
46,514.16,"514,16"
47,515.30,"515,30"
48,512.86,"512,86"
